,url,title,verdict,short_justification,date
0,https://fakehunter.pap.pl/raport/6861a4d4-2329-4209-be8d-5bc93056ce95,Czy wariantem Delta Light mozna sie zarazic w dwie minuty?,Fake News,"Zgłoszony do weryfikacji artykuł z portalu planeta.pl alarmuje w tytule, że nowy wariant Delta Light jest niezwykle zabójczy i można się nim zarazić w dwie minuty. Nie ma jednak podstaw do sformułowan...", 10-11-2021
1,https://fakehunter.pap.pl/raport/d39d5c12-7422-4a3b-80fc-32ec260c4d49,"Czy film pokazuje mord na pacjencie jednego z brazylijskich szpitali w celu ""poprawienia"" statystyk covidowych?",Fake News,"Według zgłoszonego do weryfikacji komentarza na portalu polmsg.pl, wklejony pod nim film przedstawia morderstwo w brazylijskim szpitalu, które ma rzekomo służyć podbijaniu statystyk dotyczących zgonów...", 10-11-2021
2,https://fakehunter.pap.pl/raport/ef82fae2-8345-4299-bbcd-5289ed74916a,Czy szczepienie na Covid-19 wpływa na zmianę psychiki i osobowości?,Fake News,"Twierdzenie, że szczepienie przeciwko COVID-19 powoduje zmianę osobowości, czy też „rzuca się ludziom na łeb” to fake news bez pokrycia w faktach, któremu zaprzeczają specjaliści psychiatrii i psychol...", 09-11-2021
3,https://fakehunter.pap.pl/raport/0e662b32-975c-41b4-8978-dfe1048c9776,"Czy wydolnych oddechowo pacjentów podłącza się pod respiratory, żeby ich zabić i tym sposobem zawyżyć statystyki zgonów covidowych?",Fake News,"Autor zgłoszonego do weryfikacji twitta twierdzi, że szpitale przyjmują pacjentów z COVID-19 wydolnych oddechowo i, zamiast ich leczyć, kierują na intensywną terapię, gdzie po podłączeniu do respirato...", 09-11-2021
4,https://fakehunter.pap.pl/raport/d5ddcb0d-d45a-4ca9-aeaa-9d8db09f9025,Czy w Wiedniu można się zaszczepić na Covid-19 w domu publicznym?,Prawda,"Rzeczywiście jeden z domów publicznych w stolicy Austrii oferuje klientom możliwość szczepienia przeciwko Covid-19, a nawet bezpłatny wstęp do „klubu saun” każdemu, kto zgodzi się na szczepienie. Na ...", 09-11-2021
5,https://fakehunter.pap.pl/raport/7ae1e6e9-6ea9-4423-93b0-a3f4ee4de534,Czy gubernator Kalifornii ma po 3 dawce szczepionki porażenie Bella?,Fake News,"W zgłoszonym do weryfikacji wpisie Joanny Kolendy na Twitterze czytamy, że gubernator Kalifornii Gavin Newsom „ma porażenie Bella”, czyli częściowy paraliż twarzy, którego nabawił się rzekomo w związk...", 09-11-2021
6,https://fakehunter.pap.pl/raport/fb858656-5123-4670-8fff-34b720834185,Czy terapią kamertonami można wyleczyć raka?,Fake News,"Zgłoszony do weryfikacji materiał informuje, że za pomocą „dogłębnej muzykoterapii komórkowej” wykonywanej za pomocą „kamertonów leczniczych” można wyleczyć nawet najcięższe choroby, w tym m.in. raka ...", 08-11-2021
7,https://fakehunter.pap.pl/raport/2ed32155-b319-4c79-bbaf-13cdda845899,"Czy aplikowanie dawek przypominających szczepienia przeciwko Covid- 19 to potwierdzenie, że te wcześniejsze nie spełniły swojej roli?",Fake News,"Słabnąca z czasem odpowiedź odpornościowa po szczepieniu nie jest niczym niezwykłym. Dawka przypominająca szczepionki przeciw Covid-19 jest podawana, aby temu przeciwdziałać, a także po, by wzmocnić o...", 07-11-2021
8,https://fakehunter.pap.pl/raport/28e8b9f6-fb79-4706-aed9-2c6b1bf6883f,Czy władze australijskiego stanu Victoria zamroziły konta bankowe niezaszczepionych?,Fake News,"Ze zgłoszonego tweeta dowiadujemy się, że Dan Andrews, gubernator stanu Wiktoria w Australii, zamraża konta bankowe niektórych ludzi, dopóki nie zaszczepią się przeciwko COVID-19. To nieprawda. Nie z...", 05-11-2021
9,https://fakehunter.pap.pl/raport/387c02d4-f25b-4e68-a0fb-1e0450949100,"Czy to prawda, że połowa pacjentów covidowych oddziału zakaźnego w Busku Zdroju jest zaszczepiona, co dowodzi, że szczepienia nie działają?",Fake News,"Z tekstu zgłoszonego do weryfikacji dowiadujemy się, że połowa pacjentów leczonych na oddziale zakaźnym szpitala w Busku-Zdroju to osoby zaszczepione. To nieprawda. Grzegorz Lasak, dyrektor szpitala...", 05-11-2021
10,https://fakehunter.pap.pl/raport/99aa55fc-1114-4716-b042-dec8ca414350,Czy testy przeciwko COVID-19 są eksperymentem medycznym?,Fake News,"Autor artykułu zgłoszonego do weryfikacji twierdzi, że pacjenci są zmuszani do wykonywania testów przeciw COVID-19, mimo że są one eksperymentem medycznym. Takie twierdzenie jest nieprawdą. – Nazywa...", 04-11-2021
11,https://fakehunter.pap.pl/raport/b3edd461-c7c3-4a65-be04-5c645700c763,Czy 30-40 proc. pracowników Air Canada zostało zwolnionych za brak szczepień?,Fake News,"Autor zgłoszonego do weryfikacji tweeta twierdzi, że 30-40 proc. pracowników Air Canada zostało zwolnionych z powodu odmowy szczepień. To nieprawda. Rzeczywiście, kanadyjski rząd wymaga do pracownik...", 04-11-2021
12,https://fakehunter.pap.pl/raport/eec7d464-0fe2-4aa0-b220-e006b340bbe6,"Czy w Australii szkoli się żołnierzy, żeby chodzili od drzwi do drzwi i szczepili na Covid-19 pod groźbą użycia broni?",Fake News,"Autor zgłoszonego do weryfikacji nagrania twierdzi, że australijscy żołnierze są szkoleni, aby chodzić od drzwi do drzwi i przymusowo szczepić każdą osobę pod groźbą użycia broni. To nieprawda. Armia ...", 03-11-2021
13,https://fakehunter.pap.pl/raport/60ee9c0d-65c9-460f-aba7-f59159902f6c,Czy w galeriach handlowych pojawi się straż covidowa?,Fake News,"Autor wiadomości zgłoszonej do weryfikacji sugeruje, że ma powstać specjalna straż covidowa, która zajmie się przeprowadzaniem kontroli przestrzegania obostrzeń w galeriach handlowych. Takie miałyby b...", 03-11-2021
14,https://fakehunter.pap.pl/raport/4eb22094-993b-4e5f-a1b6-7b10228a5fed,Czy respiratory będą tylko dla zaszczepionych?,Fake News,"Autor zgłoszonego do weryfikacji tweeta twierdzi, że respiratory będą tylko zaszczepionych. To nieprawda. Taką informację Ministerstwo Zdrowia dementowało już kilkakrotnie. Także teraz resort zapewn...", 03-11-2021
